[d=11] 20000/4438925 candidates, 37 charge-bound survivors, 30 blocked, 7 predicted bad, elapsed 188s
[d=11] 40000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 373s
[d=11] 60000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 544s
[d=11] 80000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 712s
[d=11] 100000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 848s
[d=11] 120000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 978s
[d=11] 140000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1111s
[d=11] 160000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1252s
[d=11] 180000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1377s
[d=11] 200000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1490s
[d=11] 220000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1607s
[d=11] 240000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1713s
[d=11] 260000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 1820s
[d=11] 280000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 2052s
[d=11] 300000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 2289s
[d=11] 320000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 2582s
[d=11] 340000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 2877s
[d=11] 360000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 3171s
[d=11] 380000/4438925 candidates, 38 charge-bound survivors, 30 blocked, 8 predicted bad, elapsed 3473s
