[d=11 shard 5/7] 5000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 136s
[d=11 shard 5/7] 10000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 256s
[d=11 shard 5/7] 15000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 368s
[d=11 shard 5/7] 20000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 475s
[d=11 shard 5/7] 25000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 584s
[d=11 shard 5/7] 30000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 696s
[d=11 shard 5/7] 35000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 802s
[d=11 shard 5/7] 40000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 902s
[d=11 shard 5/7] 45000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1006s
[d=11 shard 5/7] 50000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1117s
[d=11 shard 5/7] 55000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1230s
[d=11 shard 5/7] 60000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1346s
[d=11 shard 5/7] 65000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1468s
[d=11 shard 5/7] 70000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1581s
[d=11 shard 5/7] 75000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1689s
[d=11 shard 5/7] 80000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1757s
[d=11 shard 5/7] 85000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1861s
[d=11 shard 5/7] 90000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 1975s
[d=11 shard 5/7] 95000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2092s
[d=11 shard 5/7] 100000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2212s
[d=11 shard 5/7] 105000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2330s
[d=11 shard 5/7] 110000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2439s
[d=11 shard 5/7] 115000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2542s
[d=11 shard 5/7] 120000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2683s
[d=11 shard 5/7] 125000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2792s
[d=11 shard 5/7] 130000/634132 candidates, 5 charge-bound survivors, 4 blocked, 1 predicted bad, elapsed 2899s
