[d=9 shard 6/8] 500/27130 candidates, 172 charge-bound survivors, 36 blocked, elapsed 10s
[d=9 shard 6/8] 1000/27130 candidates, 252 charge-bound survivors, 39 blocked, elapsed 17s
[d=9 shard 6/8] 1500/27130 candidates, 277 charge-bound survivors, 40 blocked, elapsed 22s
[d=9 shard 6/8] 2000/27130 candidates, 367 charge-bound survivors, 45 blocked, elapsed 29s
[d=9 shard 6/8] 2500/27130 candidates, 389 charge-bound survivors, 45 blocked, elapsed 34s
[d=9 shard 6/8] 3000/27130 candidates, 395 charge-bound survivors, 45 blocked, elapsed 38s
[d=9 shard 6/8] 3500/27130 candidates, 437 charge-bound survivors, 45 blocked, elapsed 44s
[d=9 shard 6/8] 4000/27130 candidates, 451 charge-bound survivors, 45 blocked, elapsed 48s
[d=9 shard 6/8] 4500/27130 candidates, 451 charge-bound survivors, 45 blocked, elapsed 52s
[d=9 shard 6/8] 5000/27130 candidates, 461 charge-bound survivors, 45 blocked, elapsed 56s
[d=9 shard 6/8] 5500/27130 candidates, 463 charge-bound survivors, 45 blocked, elapsed 60s
[d=9 shard 6/8] 6000/27130 candidates, 466 charge-bound survivors, 45 blocked, elapsed 63s
[d=9 shard 6/8] 6500/27130 candidates, 471 charge-bound survivors, 45 blocked, elapsed 67s
[d=9 shard 6/8] 7000/27130 candidates, 472 charge-bound survivors, 45 blocked, elapsed 70s
[d=9 shard 6/8] 7500/27130 candidates, 495 charge-bound survivors, 45 blocked, elapsed 75s
[d=9 shard 6/8] 8000/27130 candidates, 504 charge-bound survivors, 45 blocked, elapsed 80s
[d=9 shard 6/8] 8500/27130 candidates, 511 charge-bound survivors, 45 blocked, elapsed 85s
[d=9 shard 6/8] 9000/27130 candidates, 517 charge-bound survivors, 45 blocked, elapsed 89s
[d=9 shard 6/8] 9500/27130 candidates, 517 charge-bound survivors, 45 blocked, elapsed 93s
[d=9 shard 6/8] 10000/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 96s
[d=9 shard 6/8] 10500/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 100s
[d=9 shard 6/8] 11000/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 104s
[d=9 shard 6/8] 11500/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 107s
[d=9 shard 6/8] 12000/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 111s
[d=9 shard 6/8] 12500/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 114s
[d=9 shard 6/8] 13000/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 117s
[d=9 shard 6/8] 13500/27130 candidates, 519 charge-bound survivors, 45 blocked, elapsed 121s
[d=9 shard 6/8] 14000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 125s
[d=9 shard 6/8] 14500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 129s
[d=9 shard 6/8] 15000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 133s
[d=9 shard 6/8] 15500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 136s
[d=9 shard 6/8] 16000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 140s
[d=9 shard 6/8] 16500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 144s
[d=9 shard 6/8] 17000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 147s
[d=9 shard 6/8] 17500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 151s
[d=9 shard 6/8] 18000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 154s
[d=9 shard 6/8] 18500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 157s
[d=9 shard 6/8] 19000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 179s
[d=9 shard 6/8] 19500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 215s
[d=9 shard 6/8] 20000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 218s
[d=9 shard 6/8] 20500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 221s
[d=9 shard 6/8] 21000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 225s
[d=9 shard 6/8] 21500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 228s
[d=9 shard 6/8] 22000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 231s
[d=9 shard 6/8] 22500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 235s
[d=9 shard 6/8] 23000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 238s
[d=9 shard 6/8] 23500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 241s
[d=9 shard 6/8] 24000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 246s
[d=9 shard 6/8] 24500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 250s
[d=9 shard 6/8] 25000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 254s
[d=9 shard 6/8] 25500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 259s
[d=9 shard 6/8] 26000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 264s
[d=9 shard 6/8] 26500/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 269s
[d=9 shard 6/8] 27000/27130 candidates, 520 charge-bound survivors, 45 blocked, elapsed 277s
[d=9 shard 6/8] done. completed_full_enum=True. See /Users/yugendren/experiments/four_color_digestion/results/p2-coverage/wheel_survivors_d9_shard6of8.jsonl
