config,combo_count,wheel_count,cartwheel_first_count
D0000,80,0,6118
D0001,227,0,9061
D0002,9,0,0
D0003,6,0,19539
D0004,20,0,155426
D0005,54,0,1266
D0006,0,0,33535
D0007,0,0,0
D0008,4,0,27774
D0009,0,0,3038
D0010,47,0,0
D0011,40,0,0
D0012,12,0,1567
D0013,38,0,68
D0014,0,0,0
D0015,0,0,32419
D0016,0,0,0
D0017,18,0,0
D0018,15,0,4
D0019,42,0,0
D0020,16,0,0
D0021,53,0,0
D0022,12,0,2
D0023,0,0,0
D0024,0,0,4575
D0025,0,0,9301
D0026,18,0,0
D0027,24,0,0
D0028,6,0,0
D0029,12,0,0
D0030,20,0,0
D0031,3,0,0
D0032,0,0,0
D0033,0,0,1232
D0034,19,0,0
D0035,8,0,0
D0036,12,0,0
D0037,6,0,0
D0038,0,0,78
D0039,6,0,0
D0040,313,101,21711
D0041,46,0,27
D0042,0,0,144
D0043,56,0,1984
D0044,217,0,9709
D0045,195,47,69323
D0046,116,24,1487
D0047,351,0,1254
D0048,0,0,3824
D0049,0,0,3387
D0050,83,0,24
D0051,116,44,1982
D0052,0,0,421
D0053,0,0,330
D0054,0,0,174
D0055,0,0,233
D0056,0,0,287
D0057,0,0,72
D0058,32,0,79
D0059,0,0,371
D0060,0,0,673
D0061,0,0,144
D0062,0,0,45
D0063,0,0,1504
D0064,0,0,466
D0065,0,0,4024
D0066,0,0,292
D0067,0,0,570
D0068,12,0,978
D0069,0,0,506
D0070,0,8,0
D0071,35,5,1133
D0072,0,0,194
D0073,16,0,2855
D0074,0,0,15
D0075,0,0,2378
D0076,0,0,614
D0077,0,0,2582
D0078,20,0,2411
D0079,43,0,153
D0080,0,0,554
D0081,0,0,18
D0082,0,0,9
D0083,0,0,1365
D0084,0,0,562
D0085,0,0,312
D0086,0,0,908
D0087,0,0,304
D0088,0,0,168
D0089,0,0,1084
D0090,0,0,313
D0091,0,0,2096
D0092,0,0,1118
D0093,0,9,0
D0094,0,0,111
D0095,0,0,844
D0096,26,9,4257
D0097,0,0,53
D0098,0,0,78
D0099,0,0,73
D0100,0,0,121
D0101,0,0,151
D0102,0,0,55
D0103,24,0,6
D0104,0,0,91
D0105,0,0,133
D0106,0,0,351
D0107,0,0,83
D0108,0,0,65
D0109,0,0,867
D0110,0,0,369
D0111,0,0,164
D0112,0,0,277
D0113,0,0,388
D0114,0,0,55
D0115,0,0,180
D0116,0,0,1625
D0117,0,0,52
D0118,0,0,206
D0119,0,0,12
D0120,0,0,318
D0121,0,0,2296
D0122,0,0,1923
D0123,0,0,423
D0124,8,0,12
D0125,10,0,9
D0126,0,0,101
D0127,0,0,71
D0128,0,0,30
D0129,0,0,29
D0130,0,0,24
D0131,0,0,1555
D0132,0,0,121
D0133,0,0,34
D0134,0,0,45
D0135,0,0,1504
D0136,0,0,2023
D0137,0,0,2871
D0138,0,0,182
D0139,0,0,383
D0140,0,0,672
D0141,0,0,1887
D0142,0,0,177
D0143,0,5,0
D0144,0,0,175
D0145,0,0,270
D0146,0,0,1452
D0147,0,0,713
D0148,0,0,438
D0149,0,0,352
D0150,0,0,278
D0151,0,0,116
D0152,0,0,37
D0153,0,0,64
D0154,0,0,423
D0155,0,0,549
D0156,0,0,554
D0157,0,0,623
D0158,0,0,266
D0159,0,0,173
D0160,0,0,875
D0161,0,0,501
D0162,0,0,325
D0163,0,0,181
D0164,0,0,379
D0165,0,0,1558
D0166,0,0,426
D0167,4,0,47
D0168,0,0,930
D0169,0,0,80
D0170,0,0,449
D0171,0,0,162
D0172,0,0,449
D0173,0,0,1595
D0174,0,0,45
D0175,0,0,136
D0176,0,0,290
D0177,0,0,796
D0178,0,0,50
D0179,0,0,193
D0180,0,0,47
D0181,0,0,158
D0182,0,0,158
D0183,0,0,13
D0184,0,0,82
D0185,0,0,730
D0186,0,0,129
D0187,0,0,397
D0188,0,0,586
D0189,0,0,2056
D0190,0,0,893
D0191,0,0,88
D0192,0,0,126
D0193,0,0,12
D0194,0,0,33
D0195,0,0,27
D0196,0,0,30
D0197,0,0,18
D0198,0,0,1077
D0199,0,0,790
D0200,0,0,420
D0201,0,0,787
D0202,0,0,2008
D0203,0,0,331
D0204,0,1,0
D0205,0,1,0
D0206,0,0,248
D0207,0,0,64
D0208,0,0,122
D0209,0,0,135
D0210,0,0,19
D0211,0,0,101
D0212,0,0,687
D0213,0,0,503
D0214,0,0,71
D0215,0,0,390
D0216,0,0,30
D0217,0,0,80
D0218,0,0,400
D0219,0,0,271
D0220,0,0,81
D0221,0,0,115
D0222,0,0,265
D0223,0,0,705
D0224,0,0,911
D0225,0,0,994
D0226,0,0,243
D0227,0,0,125
D0228,0,0,287
D0229,0,0,284
D0230,0,0,152
D0231,0,0,289
D0232,0,0,160
D0233,0,0,1098
D0234,0,0,200
D0235,0,0,591
D0236,0,0,162
D0237,0,0,677
D0238,0,0,617
D0239,0,0,195
D0240,0,0,24
D0241,0,0,60
D0242,0,0,67
D0243,0,0,36
