config,combo_count,wheel_count,cartwheel_first_count,glue_count
D0000,80,0,6118,15437
D0001,227,0,9061,729
D0002,9,0,0,12565
D0003,6,0,19539,4515
D0004,20,0,155426,2595011
D0005,54,0,1266,30765
D0006,0,0,33535,8
D0007,0,0,0,82
D0008,4,0,27774,931
D0009,0,0,3038,30
D0010,47,0,0,0
D0011,40,0,0,0
D0012,12,0,1567,886966
D0013,38,0,68,1053
D0014,0,0,0,73
D0015,0,0,32419,7
D0016,0,0,0,0
D0017,18,0,0,0
D0018,15,0,4,0
D0019,42,0,0,0
D0020,16,0,0,2
D0021,53,0,0,0
D0022,12,0,2,0
D0023,0,0,0,0
D0024,0,0,4575,892
D0025,0,0,9301,1029
D0026,18,0,0,0
D0027,24,0,0,0
D0028,6,0,0,8350
D0029,12,0,0,0
D0030,20,0,0,0
D0031,3,0,0,0
D0032,0,0,0,30
D0033,0,0,1232,0
D0034,19,0,0,0
D0035,8,0,0,0
D0036,12,0,0,0
D0037,6,0,0,0
D0038,0,0,78,0
D0039,6,0,0,0
D0040,313,101,21711,482
D0041,46,0,27,117
D0042,0,0,144,2414
D0043,56,0,1984,13430
D0044,217,0,9709,19778
D0045,195,47,69323,3451847
D0046,116,24,1487,14
D0047,351,0,1254,0
D0048,0,0,3824,12746
D0049,0,0,3387,61423
D0050,83,0,24,0
D0051,116,44,1982,62
D0052,0,0,421,3992
D0053,0,0,330,185868
D0054,0,0,174,32
D0055,0,0,233,1201
D0056,0,0,287,0
D0057,0,0,72,0
D0058,32,0,79,5
D0059,0,0,371,3716
D0060,0,0,673,0
D0061,0,0,144,0
D0062,0,0,45,0
D0063,0,0,1504,144
D0064,0,0,466,4740
D0065,0,0,4024,28724
D0066,0,0,292,0
D0067,0,0,570,4
D0068,12,0,978,1310
D0069,0,0,506,863
D0070,0,8,0,0
D0071,35,5,1133,0
D0072,0,0,194,9008
D0073,16,0,2855,19286
D0074,0,0,15,12
D0075,0,0,2378,69
D0076,0,0,614,0
D0077,0,0,2582,45
D0078,20,0,2411,3
D0079,43,0,153,12
D0080,0,0,554,0
